BDG,black dark gray
BDH,blue dusk heather
BDK,blue dusk  
BDM,bleached denim
BDR,boulder
BEG,bronze green
BEI,beige
BFH,blue frost heather
BFT,blue frost
BGB,bright blue
BGH,burgundy heather
BGN,bottle green
BGP,bright purple
BGR,bright red
BGT,bright turquoise
BGY,black gray yellow
BHR,bright raspberry
BHZ,blue haze
BIE,blue ice
BIH,blue ice heather
BIR,birch
BKB,black/black
BKC,black chambray
BKH,black heather
BKY,black/gray
BLB,blue black
BLC,blue collar
BLE,bleach
BLG,blue green
BLH,basil heather
BLK,black
BLL,bluebell
BLM,brite lime
BLN,brown leather/nylon
BLP,blueprint
BLS,bluestone
BLT,blue/pink multi
BLU,blue
BLY,black yellow
BLZ,blaze orange
BMR,bluemarine
BMU,blue multi
BNH,brown heather
BNY,bright navy heather
BOB,black oil tanned/black coated
BOC,blaze orange camo
BOD,brown oil tanned
BOG,brite orange
BON,bone
BOR,bordeaux
BOS,blossom
BOT,black oil tanned
BPK,bright periwinkle
BPO,brown pebble oil tanned
BPR,bright purple heather
BPS,blueprint stripe
BRB,brilliant blue
BRC,brown chambray
BRD,barn red
BRE,bright rose
BRG,burgundy
BRH,brown heather
BRI,brick
BRK,bark
BRL,brown/black leather
BRN,carhartt brown
BRO,brown
BRP,break up
BRR,brick red
BRS,brass
BRT,brown teed
BRW,brown
BRY,berry
BRZ,bronze
BSH,blush
BSM,blacksmith
BST,bittersweet
BTB,bright blueberry
BTC,baltic
BTE,bright teal heather
BTG,bottle green
BTH,butter heather
BTL,bright lavendar
BTO,burnt orange
BTP,bright pink
BTR,butter  
BTT,bright teal  
BTY,brillant yellow
BUC,buckskin
BUT,butter
BVR,beaver
BYM,bay mist
C06,Oatmeal
C20,Snow White
C24,Carhartt White Denim
C25,Marshmallow
CAB,carmel brown
CAP ,camo AP
CAY,cayenne
CBB,carbon black
CBE,cambridge blue
CBH,cobalt heather
CBL,blue chambray
CBM,cherry blossom
CBO,chocolate brown oil tanned
CBR,canyon brown
CBT,cobalt  
CCW,classic wash
CDN,cardinal
CDR,cedar green
CDY,country ditsy
CEB,cell blue
CEM ,cement
CFB,cornflower blue
CGR,cement gray
CHA,chamois
